Recipe Name,Ingredients,Allergy?,Potential Allergy,Type
Buttery Bejeweled Rice,"scallions, almonds, pistachios, divided, mandoline, sugar, more, sliced, clear, cardamom, cinnamon, flakes, turmeric, raisins, cherries, cranberries)",Yes,sugar,Sugar Allergy / Intolerance
Brussels Sprouts With Pistachios and Lime,"trimmed, oil, pepper, butter, pistachios, honey, honey, lime, juice, flakes, optional)",Yes,"butter, honey, lime","Milk allergy / Lactose intolerance, Honey Allergy, Citrus Allergy"
Broccolini With Sesame Sauce and Lemon,"lengthwise, salt, tahini, miso, sauce, wine), vinegar, oil, divided, divided, removed, serving)",No,,
White Pesto Pasta,"walnuts, salt, ricotta, lemon, grated, oregano, serving, oil, pepper, spaghetti)",Yes,lemon,Citrus Allergy
Salmon With Citrus-Chile Sauce,"heat), cloves, salt, grapefruit, honey, divided, pieces, fillets, pieces, juice, vinegar, serving)",Yes,"grapefruit, honey","Citrus Allergy, Honey Allergy"
Feel-Better Chicken and Rice Soup,"thighs, rinsed, sliced, sliced, salt, rounds, juice, sauce, chopped, pepper",No,,
Applejack Sour,"Lairds), juice, juice, syrup, bitters, nutmeg",No,,
Expertly Spiced and Glazed Roast Turkey,"removed, peppercorns, peppercorns, salt, powder, powder, paprika, sugar, thyme), crushed, zest, sauce, vinegar, canola), mill",Yes,sugar,Sugar Allergy / Intolerance
Spicy Mushroom Larb,"divided, quartered, sliced, grated, grated, salt, rinsed, sliced, large, sauce, divided, cabbage, crosswise, separated",Yes,cabbage,Cruciferous Allergy
Salmon Rice Bowls with Coconut-Ginger Broth,"oil, breadcrumbs), pepper, paprika, pepper, divided, fillets, mayonnaise, milk, piece), sugar, divided, juice, oil, rinsed, pieces, rice, serving)",Yes,"milk, rice, sugar","Milk allergy / Lactose intolerance, Rice Allergy, Sugar Allergy / Intolerance"
Goat Butter Shortbread,"cubed, sugar, germ, flour, flour, salt, flakes",Yes,sugar,Sugar Allergy / Intolerance
Peanut Better Blossoms,"leveled, soda, salt, temperature, sugar, sugar, extract, butter, temperature, chocolate, butter",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Sumac and Vanilla Shortbread,"temperature, flour, out, salt, sumac, sugar",Yes,sugar,Sugar Allergy / Intolerance
Pastel Butter Cookies,"toasted, flour, salt, cinnamon, temperature, sugar, extract, colors, blueberries, raspberries, mangoes",Yes,sugar,Sugar Allergy / Intolerance
Iranian Rice Cookies,"butter, sugar, water, yolk, flour, dusting, fresh, salt",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Double-the-Mustard Chicken with Potatoes and Greens,"mustard, honey, divided, dry, divided, divided, halved, sprigs, grated, juice, mustard, pieces, leaves",Yes,honey,Honey Allergy
Lebkuchen (German Honey Bars),"honey, water, cubes, sugar, beaten, lemon, juice, flour, soda, cinnamon, cloves, nutmeg, cardamom, anise, salt, almonds, citron, peel, sifted, lemon, juice, vanilla, (optional), (optional)",Yes,"honey, lemon, sugar","Honey Allergy, Citrus Allergy, Sugar Allergy / Intolerance"
Sweet Potato Bowls With Kale and Chickpeas,"pieces, broth, milk, powder, pieces, rinsed, juice, pepper, rice",Yes,"milk, rice","Milk allergy / Lactose intolerance, Rice Allergy"
Italian Fish and Vegetable Stew,"pieces, pepper, juice, vinegar, mustard, divided, cornmeal), smashed, pieces, pieces, halved, serving, dried), serving",No,,
Rice Noodles and Tofu in Peanut Sauce,"oil, planks, strips, noodles, butter, tamari, vinegar, sugar, sauce, juice, spinach, leaves, chopped, serving)",Yes,"butter, spinach, sugar","Milk allergy / Lactose intolerance, Histamine Allergy, Sugar Allergy / Intolerance"
Scotchy Boulevardiers for a Crowd,"whiskey, Campari, Antica, scotch, twists",No,,
Everything Good Cocktail,"honey, mezcal, Curaao), Brothers, twists",Yes,honey,Honey Allergy
"Chestnut, Bacon and Sage Stuffing Rolls","tablespoons), chopped, crushed, chopped, extra, chopped, chopped, chopped, breadcrumbs, leaves, rind, beaten, pepper, bacon, honey",Yes,honey,Honey Allergy
Pomegranate and Fennel Chicken (Pollastre amb Magrana),"you), pepper, oil, diced, crossways, leaf, removed, molasses, sherry, sugar, rounds, sprigs, reserved, seeds, chopped, leaves, serve",Yes,sugar,Sugar Allergy / Intolerance
Roasted Garlic and Parmesan Baked Halibut,"head, oil, butter, fillets, needed, needed, mayonnaise, Parmesan",Yes,butter,Milk allergy / Lactose intolerance
Black-Bottom Hazelnut Pie,"sugar, salt, dusting, minutes, hazelnuts, chopped, butter, sugar, powder, extract, syrup, divided, eggs, temperature, blend",Yes,"butter, eggs, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Sugar Allergy / Intolerance"
Roast Walnut and Squash Medley with Persillade,"sliced, cubes, heads), sliced, chopped, halved, halved, oil, black, Pepper, oil, chopped, chopped, work), chopped, clove, chopped",No,,
Sour Cherry Relish,"oil, chopped, leaves, cherries, rind, liqueur, vinegar, sugar, pepper",Yes,sugar,Sugar Allergy / Intolerance
Comforting Little Casseroles,"cubes, butter, frying, chopped, beer, vinegar, mustard, ginger, leaf, g), season, chunks, milk, butter), yolks, cheese, nutmeg",Yes,"butter, cheese, ginger, milk","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Histamine Allergy, Milk allergy / Lactose intolerance"
Smoky Dry-Rubbed Pork Steaks,"seeds, sugar, salt, paprika, powder, English), lemon, orange, steaks, grapeseed, sunflower, oil",Yes,"lemon, orange, sugar","Citrus Allergy, Citrus Allergy, Sugar Allergy / Intolerance"
Torn Potatoes of Many Colors With Chile-Lime Butter,"desired, bunch), temperature, zest, salt, scrubbed, pomegranates), serving)",No,,
Cheesy Baked Butternut Squash Polenta,"more, oz.), pieces, milk, nutmeg, cup), pan, oil, leaves, cheese, pieces",Yes,"cheese, milk","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Smashed Green Bean Salad With Crispy Shallots,"juice, juice, vinegar, salt, sauce, sugar, flakes, trimmed, sliced, grapeseed), peanuts, shallots",Yes,sugar,Sugar Allergy / Intolerance
Labne Deviled Eggs with Paprika and Ginger,"grams), grams), gram), gram), gram), eggs, yogurt, oil, salt",Yes,"eggs, yogurt","Poultry Allergy, Milk allergy / Lactose intolerance"
Olive Oil Apple Cake with Spiced Sugar,"pan, pan, Gala, cinnamon, pepper, cardamom, ginger, flour, powder, eggs, yolks, sugar, extract, salt",Yes,"eggs, ginger, sugar","Poultry Allergy, Histamine Allergy, Sugar Allergy / Intolerance"
Boiled Peanuts with Chile Salt,"oz.), salt, divided, salt, powder, Kashmiri",No,,
Bourbon Fruit Tea Punch,"tea, sugar, juice, juice, juice, Trace), serving)",Yes,"sugar, tea","Sugar Allergy / Intolerance, Tannin Allergy"
Baked Pasta Shells with Sausage and Greens,"oil, removed, chopped, serving, flakes, half-and-half, divided, rigatoni), rabe, pieces, long",No,,
Spiced Roast Pork with Fennel and Apple Salad,"removed, anise, seeds, seeds, seeds, Tellicherry, cloves, smashed, vinegar, divided, tied, more, salt, sliced, sliced, rounds, oil, chopped, salt, pestle",No,,
Red Pesto Rigatoni,"fillets, smashed, oil, walnuts, paste, removed, grated, juice, more, rigatoni, butter, pieces",Yes,butter,Milk allergy / Lactose intolerance
Turnips with Spicy Meyer Lemon Dressing,"flakes, sugar, sauce, wine), togarashi, juice), tops, oil, salt, serving)",Yes,sugar,Sugar Allergy / Intolerance
Shishito PepperPistachio Dip,"pistachios, chopped, chopped, stems, torn, vinegar, sauce, Supreme), oil, carrots, radishes, celery, serving)",Yes,celery,Hypersensitivity
Smoky Carrot Dip,"almonds, peeled, more, more, cloves, chickpeas, juice, pepper, paprika, parsley, serving",Yes,parsley,Hypersensitivity
Apple-Walnut Upside-Down Cake,"pecans, divided, cored, divided, flour, salt, soda, powder, nutmeg, serving, sugar, temperature, extract, temperature, sweetened, serving)",Yes,sugar,Sugar Allergy / Intolerance
Chocolate-Hazelnut Cookies,"hazelnuts, flour, salt, powder, soda, ginger, temperature, sugar, sugar, sugar, temperature, honey, extract, sticks, salt",Yes,"ginger, honey, sugar","Histamine Allergy, Honey Allergy, Sugar Allergy / Intolerance"
Rose and Yogurt Panna Cotta,"pistachios, tsp.), yogurt, syrup, divided, sugar, (optional), raisins, optional)",Yes,"sugar, yogurt","Sugar Allergy / Intolerance, Milk allergy / Lactose intolerance"
Pork Katsu Sandwich,"1/4""-thick, seasoning, salt, cups), lemons, salt, blend, breadcrumbs), flour, cups), serving), bread, removed",No,,
Apple-Honey-Pecan Muffins,"spray, apples, pecans, butter, honey, salt, flour, flour, powder, soda, salt, temperature, sugar, oil, buttermilk, sprinkling)",Yes,"butter, buttermilk, honey, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Honey Allergy, Sugar Allergy / Intolerance"
Lemon-Pistachio Loaf,"pan, pistachios, lemons, flour, sugar, powder, salt, oil, divided, sugar",Yes,sugar,Sugar Allergy / Intolerance
Spiced Eggs with Tzatziki,"seeds, salt, pepper, yogurt, cucumber, grated, serving, divided, eggs, cream, butter, powder, serving)",Yes,"butter, cream, cucumber, eggs, yogurt","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Unknown, Poultry Allergy, Milk allergy / Lactose intolerance"
Little Gem Salad with Buttermilk Chaas,"buttermilk, oil, desired, leaves, seeds, seeds, salt, sliced, strips, sliced, beans, torn, cilantro, (optional)",Yes,buttermilk,Milk allergy / Lactose intolerance
Instant Pot Red Bean and Quinoa Soup with Taco Fixins,"oil, chopped, grated, cumin, beans, rinsed, adobo, more, lime, sliced, vinegar, salt, sugar, wedges, avocado, cream, cilantro, Jack, sauce, serving)",Yes,"avocado, cream, lime, sugar","Oral Allergy Syndrome, Milk allergy / Lactose intolerance, Citrus Allergy, Sugar Allergy / Intolerance"
Sweet-and-Sour Dal Bhat,"chopped, over, salt, halved, cup), jaggery, juice, Kashmiri, turmeric, rice, divided, leaves, removed, seeds, asafetida, fenugreek",Yes,rice,Rice Allergy
Nasi Lemak,"rbol, oil, peanuts, anchovies, halved, cloves, lengthwise, sugar, concentrate, rice, salt, (optional), milk, eggs, crosswise, serving)",Yes,"eggs, milk, rice, sugar","Poultry Allergy, Milk allergy / Lactose intolerance, Rice Allergy, Sugar Allergy / Intolerance"
Miso Pork Ribs with Chile-Honey Glaze,"total), powder, miso, oil, flakes, chopped, salt, chopped, grated, paste), sauce, vinegar, honey, foil), sliced, topping)",Yes,honey,Honey Allergy
Brothy Pasta with Chickpeas,"drizzling, chopped, salt, sliced, rosemary, flakes, rinsed, hand, pasta, parsley, serving, pepper",Yes,parsley,Hypersensitivity
Spaghetti al Limone,"lemon, pasta, salt, cream, butter, cup), pepper",Yes,"butter, cream, lemon","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Citrus Allergy"
Sake-Braised Mustard Greens with Sesame,"oil, sliced, pieces, wine, zest, salt, serving)",No,,
"Long-Roasted Eggplant with Garlic, Labne, and Tiny Chile Croutons","lengthwise, needed, pepper, sliced, flakes, pieces, cream, chopped, desired, leaves, stems",Yes,cream,Milk allergy / Lactose intolerance
Chicken Confit with Pickled Tomatoes,"pounds, salt, hanout, smashed, thyme, vinegar, water, molasses, salt, extract, quartered, diced, thyme, sliced, oil, oil, vermicelli, dill), salt",No,,
"Walla Walla Onion, Pine Mushroom Fonduta","each), roasting, oil, mushrooms, flour, Stock, cream, onions, salt, pepper, Sourdough, Heidi), cheese, Sourdough",Yes,"cheese, cream","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Marrakesh Express,"mezcal, preferred), juice, follows), it, water, white, seeds, peppercorns, (black, smoked, Maldon), garnish",No,,
Fearless Sous Vide Poached Eggs,eggs,Yes,eggs,Poultry Allergy
Youre the Best Cold Cut Around,"sugar, salt, powder, oregano, seeds, paprika, coriander, cardamom, loin, bag",Yes,sugar,Sugar Allergy / Intolerance
Hearty Sous Vide Rice Bowl for All Hungry People,"Grain, divided, more, pieces, juice, syrup, seeds, divided, cups), cornstarch, sauce, optional), bags",No,,
Whole Grain Shortbread with Einkorn and Rye Flour,"soft, salt, flour, Flour, flour, cornstarch, sugar, sugar, topping",Yes,sugar,Sugar Allergy / Intolerance
Parsnip and Butternut Squash with Flatbreads,"cubes, cubes, drizzling, ground, ground, pepper, home), arugula, (optional), dusting, water, oil, pepper, coriander",No,,
Soft Polenta with Mushrooms and Spinach,"polenta, grated), frying, necessary, crushed, spinach, egg, butter, pepper, season",Yes,"butter, spinach","Milk allergy / Lactose intolerance, Histamine Allergy"
"Baked Sweet Potato with Olives, Feta, and Chile","potatoes, drizzling, salt, crumbles), chopped, rings, leaves, chopped",No,,
Salty-Sweet Fall Cookies,"rolling, powder, temperature, sugar, eggs, extract, pretzels, melts, cutter",Yes,"eggs, sugar","Poultry Allergy, Sugar Allergy / Intolerance"
Caramel Apple Cupcakes,"flour, powder, cinnamon, salt, recommended), sugar, temperature, water, type), recommended), sifted, recommended), temperature, sugar, water, recommended), recommended), cream, temperature",Yes,"cream, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Roasted and Marinated Root Vegetables,"baseball-size), oil, salt, honey, pepper, thyme, rosemary, vinegar, oil, flakes",Yes,honey,Honey Allergy
"Roasted and Marinated Beets with Burrata, Charred Kale, and Hazelnut Vinaigrette","cheese, oil, lemon, minced, honey, salt, flakes, pepper, chopped, ground, oil, vinegar, shallot, leaves, honey, salt, pepper, beets, chunks, salt, pepper, hazelnuts",Yes,"cheese, honey, lemon, shallot","Milk allergy / Lactose intolerance, Honey Allergy, Citrus Allergy, Allium Allergy"
A Vegetarians Dream Sweet Potato Dinner,"lengthwise, drizzling, more, divided, lentils, pieces, cup), tahini, crushed, divided, divided, scallions, chopped",No,,
Sazerac,"sugar, Bitters, teaspoon, whiskey, teaspoon, garnish, Ice",Yes,sugar,Sugar Allergy / Intolerance
Halva 5 Ways,"temperature, salt, extract, sugar",Yes,sugar,Sugar Allergy / Intolerance
Speedy Skillet Ravioli Lasagna,"oil, sliced, paste, flakes, tomatoes, garnish, sugar, Crystal), pepper, ravioli, cups), cheese",Yes,"cheese, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Grape Cake with Hazelnut Streusel,"pan, pan, hazelnuts, sugar, sugar, divided, zest, eggs, extract, powder, Greek), grapes, mix), divided",Yes,"eggs, sugar","Poultry Allergy, Sugar Allergy / Intolerance"
Spicy Carrot-Miso Dressing,"blender, water, cashews, oil, juice, chopped, clove, taste, taste, juice, miso, blender), pepper, taste",No,,
Golden Citrus Zucchini Dressing,"cups), chopped, juice, oil, taste, juice, blender), juice, butter, yeast, clove",Yes,butter,Milk allergy / Lactose intolerance
Tangy Beet-Cashew Dressing with Chile,"beet, water, tahini, vinegar, oil, clove, taste, butter, chile, chopped",Yes,butter,Milk allergy / Lactose intolerance
Sweet-and-Saucy Pork Chops,"too), salt, divided, divided, chopped, sliced, vinegar, rosemary, capers, butter, pieces",Yes,butter,Milk allergy / Lactose intolerance
Sheet-Pan Potato Hash with Fixins,"sliced, oil, salt, eggs, trout), cream, roe, dill, serving)",Yes,"cream, eggs","Milk allergy / Lactose intolerance, Poultry Allergy"
Grilled Bacon BLTs,"mayonnaise, Sriracha, bacon, bread, slices, salt, pepper, lettuce, separated",Yes,lettuce,LTP Allergy
Roast Fish with Curry Butter,"sliced, wedges, large, oil, salt, butter, crushed, chopped, powder, pollock, serving)",Yes,butter,Milk allergy / Lactose intolerance
Beef and Ginger Stir-Fry,"dry, sugar, oil, sauce, more, oil, rounds, sliced, pepper, pieces, juice, serving)",Yes,sugar,Sugar Allergy / Intolerance
Chile-Braised Short Ribs,"pieces, salt, removed, rounds, unpeeled, flakes, coriander, cumin, cinnamon, divided, paste, wedges, yogurt, sprigs, serving)",Yes,yogurt,Milk allergy / Lactose intolerance
Creamy Pasta with Crispy Mushrooms,"oil, pieces, salt, chopped, bucatini, cream, lemon, parsley, pieces, serving, pepper",Yes,"cream, lemon, parsley","Milk allergy / Lactose intolerance, Citrus Allergy, Hypersensitivity"
Coconut MilkBraised Chicken,"milk, paste, crushed, smashed, smashed, total), salt, flakes, stems, rice, serving)",Yes,"milk, rice","Milk allergy / Lactose intolerance, Rice Allergy"
Big Green Lentil Salad,"rinsed, more, yogurt, chopped, turmeric, pepper, seeds, juice, drizzling, cubes, arugula, leaves, large",Yes,yogurt,Milk allergy / Lactose intolerance
Soba Noodles with Crispy Kale,"cups), flakes, yeast, more, oil, noodles, tahini, sauce, honey, drizzling, serving, lime",Yes,"honey, lime","Honey Allergy, Citrus Allergy"
Tofu and Summer Vegetable Curry,"divided, cubes, salt, chopped, paste, pieces, pieces, pieces, milk, wedges, stems, salted, serving)",Yes,milk,Milk allergy / Lactose intolerance
Tomato Fried Rice,"scallions, colors, salt, divided, grated, ginger, rice, blend, sauce, drizzling), optional), lemon",Yes,"ginger, lemon, rice","Histamine Allergy, Citrus Allergy, Rice Allergy"
Any Berry Galette,"cornstarch, zest, salt, (optional), sprinkling, large, juice, extract, Dough, cream, optional)",Yes,cream,Milk allergy / Lactose intolerance
Fall Fruit Galette,"(optional), salt, sprinkling, sliced, vinegar, extract, Dough, cream, optional), pestle",Yes,cream,Milk allergy / Lactose intolerance
Peach-Plum Galette,"cornstarch, zest, salt, sprinkling, wedges, wedges, juice, extract, (optional), Dough, cream, optional)",Yes,cream,Milk allergy / Lactose intolerance
Extra-Flaky Pastry Dough,"sugar, salt, surface, butter",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Bagels with Japanese-ish Fixings,"split, below), thin, thin, ribbons, below), softened, seaweed), possible, sugar, salt, leaves, flakes, seaweed), seeds, seeds, sugar, salt, flakes), seeds, seeds, shichimi, salt",Yes,sugar,Sugar Allergy / Intolerance
Fried Egg Bnh M,"mayonnaise, sauce, temperature, eggs, pepper, lengthwise, strips, rings, shredded, sprigs, Sriracha, (optional)",Yes,eggs,Poultry Allergy
Killer Chocolate Cake,"temperature, flour, powder, powder, soda, salt, buttermilk, extract, sugar, eggs, Note), temperature, sugar, Note), sauce, extract",Yes,"buttermilk, eggs, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Sugar Allergy / Intolerance"
Korean Egg Bread (Gyeran Bbang),"flour, powder, salt, milk, melted, beaten, yolks, diced, diced, grated, pepper, chives, chopped, serve",Yes,milk,Milk allergy / Lactose intolerance
Vietnamese Pork Meatball Banh Mi Fried Rice,"matchsticks, matchsticks, salt, vinegar, water, sugar, Tbsp.), garlic, onions, sauce, sriracha, salt, pork, oil, lengths, rice, sauce, sauce, serving, cilantro",Yes,"garlic, rice, sugar","Allium Allergy, Rice Allergy, Sugar Allergy / Intolerance"
Crumb-Covered Poached Eggs,"chopped, butter, panko, cayenne, pepper, salt, poaching, flour, eggs, eggs",Yes,"butter, eggs","Milk allergy / Lactose intolerance, Poultry Allergy"
"Green Rice with Tomatoes, Eggs, and Almonds","proportion), oil, more), clove, salt, divided, farro), pieces, sliced, wedges, total), wedges",No,,
Raw Tomato Sauce,"halved, grated, tomatoes, oil, flakes, pepper",No,,
Crispy Pan-Seared Chicken and Zucchini with Olives and Lemon,"lb.), divided, divided, shears), pepper, sliced, sliced, torn, leaves, zest, serving)",No,,
Pitaquiles,"each), oil, sprinkling, taste, tomatoes, wedges, cloves, garnish, juice, eggs, cheese, yogurt, cilantro, serving",Yes,"cheese, eggs, yogurt","Milk allergy / Lactose intolerance, Poultry Allergy, Milk allergy / Lactose intolerance"
Vegetarian Piri Piri Chorizo Bake,"potatoes, oil, lemon, pepper, pepper, pepper, cloves, sausages, tomatoes, serve, cilantro, pepper, onion, cloves, pepper, birds-eye), paprika, oregano, vinegar, basil, lemon",Yes,"lemon, onion","Citrus Allergy, Allium Allergy"
Sweet Potato Breakfast Bowls,"scrubbed, baked, milk, extract, salt, optional, blueberries, sliced, almonds",Yes,milk,Milk allergy / Lactose intolerance
Pumpkin Kolokithopita (Greek Phyllo Pastries),"canned), honey, sugar, cinnamon, nutmeg, dough, butter, melted",Yes,"butter, honey, sugar","Milk allergy / Lactose intolerance, Honey Allergy, Sugar Allergy / Intolerance"
Cheddar Potato Soup with Bacon,"slices, onion, potatoes, flour, water, broth, wine, ounces), chives",Yes,onion,Allium Allergy
Za'atar Spice Blend,"oregano), marjoram, seeds, thyme, sumac, salt",No,,
Chipotle-Grilled Pork Shoulder Steaks with Corn Salsa,"powder, oregano, powder, allspice, divided, chops, grill), husked, chopped, chopped, oz.), (pepitas), juice, salt, serving)",No,,
Grilled Beet Salad with Burrata and Cherries,"total), vinegar, salt, drizzling, pieces, pitted, pitted, salt, pepper",No,,
Grilled Whole Eggplant with Harissa Vinaigrette,"lb.), divided, oil, juice, paste, honey, parsley, bread, desired",Yes,"honey, parsley","Honey Allergy, Hypersensitivity"
Grilled Whole Cauliflower with Miso Mayo,"trimmed, salt, butter, Franks), ketchup, sauce, mayonnaise, miso, juice, pepper, scallions, sliced",Yes,butter,Milk allergy / Lactose intolerance
Mix-and-Match Fools,"cream, sugar, extract, salt, large, sugar, salt",Yes,"cream, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Frozen Margarita Pie,"butter, crackers, sugar, divided, cream, halved, milk, blanco",Yes,"butter, cream, milk, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Universal Marinade,"grill), removed, chile, cloves, peeled, sugar, oil, sauce, sauce, steak, salt, sliced, stems, serving)",Yes,sugar,Sugar Allergy / Intolerance
The Only Salsa You Need,"crosswise, rounds, chiles, unpeeled, salt, juice, cilantro, serving)",No,,
Chile Crisp,"sliced, sliced, sticks, pods, oil, chopped, flakes, sauce, sugar",Yes,sugar,Sugar Allergy / Intolerance
All Day Every Day Sauce,"yogurt, juice, salt",Yes,yogurt,Milk allergy / Lactose intolerance
Skillet-Charred Summer Beans with Miso Butter,"temperature, miso, grated, grated, beans, oil, serving)",No,,
Cheesy Stuffed Tomatoes,"pistachios, lb.), pepper, grated, raisins, drizzling, sprigs, mozzarella",No,,
Big Beans and Tomato Vinaigrette,"sprigs, sprigs, leaves, possible, halved, chopped, salt, oil, tomatoes, smashed, vinegar, drizzling, salt, tomatoes, pepper, leaves, Maras)",No,,
Tomato Galette,"dusting, divided, pieces, vinegar, thick, sliced, cups), blend, salt, pepper, lemon, chives",Yes,lemon,Citrus Allergy
Roasted Red Pepper Frittata,"peppers, drizzling, salt, sliced, thick, eggs",Yes,eggs,Poultry Allergy
Tomato and Parmesan Risotto,"broth, drizzling, chopped, sliced, paste, tomatoes, (optional), rice, salt, butter, serving, pepper",Yes,"butter, rice","Milk allergy / Lactose intolerance, Rice Allergy"
Spaghetti with No-Cook Puttanesca,"removed, grated, flakes, more, halved, removed, capers, drizzling, spaghetti, parsley, butter, pieces",Yes,"butter, parsley","Milk allergy / Lactose intolerance, Hypersensitivity"
Perfect Pesto Pasta,"nuts, grated, serving, bunches), oil, more, pasta, butter, pieces",Yes,butter,Milk allergy / Lactose intolerance
Smash Burger Alfresco,"pickles, mayonnaise, ketchup, adobo, more, fat), rolls, buns, mandoline, (optional), oil, cheese",Yes,cheese,Milk allergy / Lactose intolerance
Hummus with Spiced Summer Squash and Lamb,"rinsed, chopped, tahini, juice, salt, salt, coriander, cumin, (optional), drizzling, beef, divided, pieces, cilantro, serving)",No,,
Grilled Lamb Chops and Peppers,"sliced, rosemary, peppers, unfrenched, pepper, stems, sprigs, lemon, peppers, serving)",Yes,lemon,Citrus Allergy
Brothy Steamed Clams with Corn,"drizzling, sliced, sliced, salt, sliced, ear), wine, scrubbed, parsley, chives, serving)",Yes,parsley,Hypersensitivity
Tomato Salad with Warm Basil Dressing,"oil, rings, sliced, flakes, (optional), green), wedges, vinegar, salt, lemon, salt",Yes,lemon,Citrus Allergy
Steak Salad with Shallot Vinaigrette,"lb.), salt, pepper, chopped, mustard, vinegar, divided, corn), thyme, butter, separated, sliced, tomatoes, halved",Yes,butter,Milk allergy / Lactose intolerance
Salt-and-Squeeze Slaw,"radishes), sliced, salt, vinegar, oil",No,,
New-and-Improved Greek Salad,"divided, removed, feta, oregano, pepper, peppers, sliced, pieces, whole, vinegar",No,,
Cucumber and Peach Salad with Herbs,"chopped, salt, lemon, vinegar, rounds, crosswise, salt, wedges, crumbled, pepper, large, large, lemon, halved",Yes,lemon,Citrus Allergy
Any Way Nioise,"oil, juice, mustard, honey, pepper, more, eggs, larger, tomatoes, chickpeas, serving), salt",Yes,"eggs, honey","Poultry Allergy, Honey Allergy"
Pan con Tomate,"loaf, drizzling, crosswise, cored, salt, pepper, oregano, optional)",No,,
Green Goddess Crunch Sandwich,"basil, chives, mayonnaise, yogurt, drizzling, divided, pepper, sliced, bread, sliced, thick, broccoli)",Yes,yogurt,Milk allergy / Lactose intolerance
Peak-Season Slushies,"frozen, juice, salt, syrup, water",No,,
Tomato-and-Cheese Cobbler,"thick, salt, pepper, powder, soda, surface, pieces, buttermilk, chives, divided, oil, thyme, egg",Yes,buttermilk,Milk allergy / Lactose intolerance
Tomato and Walnut Pesto,"halved, oil, chopped, leaves, lemon, flakes, toasted, serving, pasta, leaves, pepper",Yes,lemon,Citrus Allergy
Sticky Grilled Chicken,"minced, ginger, paprika, coriander, cumin, cayenne, oil, juice, chunky, blackstrap), each), below)",Yes,ginger,Histamine Allergy
"Baked Tomatoes, Peppers, and Goat Cheese with Crisped Toasts","shallot, chopped, divided, halved, peppers, cheese, crackers",Yes,"cheese, shallot","Milk allergy / Lactose intolerance, Allium Allergy"
Grilled Sweet Corn with Basil Butter,"basil, thyme, softened, husks, sprinkling",No,,
Late Summer Tomatoes with Fresh Herbs,"vinegar, juice, oil, wedges, sprigs, torn, torn, chives",No,,
Pecan Bourbon Baklava,"cooled, Tips), sugar, cinnamon, frozen, acacia), sugar, water, cloves, zest, divided, cream, cherries",Yes,"cream, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Flat Beans with Mustard Thyme Vinaigrette,"vinegar, mustard, thyme, minced, oil, beans, trimmed",No,,
"Massaged Kale with Tomatoes, Creamed Mozzarella, and Wild Rice","slices, minced, pepper, wine, water, ribbons, mozzarella, cream, juice, tomatoes, halved",Yes,cream,Milk allergy / Lactose intolerance
Green Bean and Tuna Salad with Basil Dressing,"chopped, vinegar, more, trimmed, leaves, oil, juice, pepper, separated, rinsed, stems, drained, tuna, drained, pieces",Yes,tuna,Fish Allergy
Mais con Yelo,"reserved, cream, milk, milk, divided, divided, sugar, serving)",Yes,"cream, milk, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Coconut Rice Pudding Pie,"oz.), sugar, melted, gelatin, milk, cream, divided, cornstarch, salt, eggs, rice, milk, sugar, butter, salt, cream, rum, sugar, salt, topping), plate",Yes,"butter, cream, eggs, milk, rice, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Poultry Allergy, Milk allergy / Lactose intolerance, Rice Allergy, Sugar Allergy / Intolerance"
Fried Okra,"lengthwise, pepper, pepper, buttermilk, frying, cornmeal, flour",Yes,buttermilk,Milk allergy / Lactose intolerance
Big-Batch Marinated Bell Peppers,"grill), peppers, oil, vinegar, salt, flakes",No,,
"Pasta with Clams, Corn, and Basil Pesto","grated, Parmigiano, reserved), oil, lemon, pepper, salt, butter, oil, sliced, sliced, wine, scrubbed, rigatoni, ears)",Yes,"butter, lemon","Milk allergy / Lactose intolerance, Citrus Allergy"
Potato Tahdig,"ground, rice, salt, oil, peeled, rounds",Yes,rice,Rice Allergy
Crab Salad Tostadas,"sliced, halved, leaves, sliced, juice, oil, seasoning, salt, drained, Dip, serving)",No,,
